,Arterial EC,B cell,Breast basal cell,Breast cancer specific luminal cell,Breast cancer specific proliferation luminal cell,Capillary EC,CD4 T,cDC2,CFD fibroblast,CXCL1/2/3 fibroblast,CXCL13 exhausted CD8 T,Fibroblast,GZMH CD8 T,GZMK CD8 T,IgA plasma,IgG plasma cell,INF responsed T,Luminal progenitor,Lymphatic EC,Macrophage,Mast cell,Monocyte,mregDC,NK cell,pDC,Pericyte,Proliferation macrophage,Proliferation T/NK,Smooth muscle cell,Tfh,TGM2 luminal cell,TNBC-specific epithelial cell,Treg,Venous EC
CMTM7,0.20966879133447666,0.5662835246747692,0.7235323967649101,0.15255827940698463,0.19074167670411396,0.2768413638397331,0.9967300348876595,0.558799265657554,0.092684735925768,0.07850916973664938,0.5492010470306714,0.23654237064248804,0.6847063224691943,0.9614373757504151,0.18316080951993963,0.17885882724134902,0.8042837443162587,0.9197625057101959,0.6964423825030797,0.6717734478397055,0.45591737802188154,0.6656885792337353,0.2804849918484184,0.36530523120475816,0.22418199671593825,0.13058918264295233,0.6399437641280601,0.7169514680020411,0.06677530017261707,0.8300910194988823,0.20067450247649551,0.2486061350787418,1.3000005668234955,0.2614361022558645
LAIR2,0.0,0.004014166408897513,0.012533480991748985,0.008574128891782676,0.003916938245121551,0.0,0.11992867708431404,0.001270468989059764,0.005153619849986484,0.0038128242791945865,0.5112120316880624,0.0,0.11987314468878509,0.09228859699737621,0.024294554614780344,0.007368746014437282,0.0,0.004884255463521602,0.011361456808882632,0.009469009754227521,0.0,0.0,0.05703079989502501,0.8366962323139306,0.009241561199876526,0.011591426577599638,0.0,0.5169201868995581,0.004996675916743962,0.5317924584875143,0.009788851728935647,0.004737440423886933,1.547776830165131,0.020575374327422773
DDX6,0.5648038751989134,1.253083188884315,0.5561310012867039,0.5360227209615491,0.4863207742600608,0.8124887440588942,0.9932001643451964,0.5145332257308147,0.7202723964876891,0.5423317810001961,1.150316987627452,0.48303807675904625,1.1282156971779855,1.3981744363458561,0.3585421171721927,0.2672011937343984,0.9385921705792328,0.4481965824826054,0.8419198070059468,0.5074087937101132,0.6667873024538643,0.5453308003272553,0.9933624539101226,1.2395242579826409,1.03855200948463,0.4847374186674002,0.5979615861139559,0.9863383282159539,0.6545076819106612,1.1018786333036623,0.910346772180691,0.22216739449926282,1.352493157703549,0.5822959315682097
PHF19,0.06970057683192837,0.26058181227576327,0.06463459655437669,0.027011738177279306,0.49655903456276873,0.08690013854581616,0.1802164224253188,0.18334292786959328,0.10477958602976963,0.05210933986135293,0.2954736061795712,0.09996045574448713,0.1730476451674447,0.1578178410628646,0.05773788908338076,0.049441021062799746,0.08176053063855895,0.02804837669424804,0.6693410432694644,0.1351794222883552,0.07483783117232443,0.2422666130201982,0.06562742729752435,0.24751260527216848,0.053257418322646764,0.10777442811226146,1.2319465018282525,1.4213590607622602,0.09223737048693485,0.37705415923205343,0.0599474525949449,0.2313484669057663,0.4957486285890441,0.04071987861126286
SEC31A,0.4870755707040025,0.6354860160459423,0.5146471988438883,0.6623086210252375,0.5369212329018522,0.857180220755212,0.4136359842826554,0.545616397390903,0.8481188206542885,0.5222858832704526,0.4759403680632904,2.1056215193392966,0.5109173098933031,0.4796336652649897,0.5299138921102157,0.4737243694929904,0.6189551830017145,0.44954995096412714,0.3511021966373614,0.6058425974188572,0.43244685625564044,0.5069477029627738,0.5496327675532925,0.5240913093019487,1.0928279453367562,1.123146816528962,0.47200417408993656,0.4882974122504043,0.5864576749645523,0.5593126404698762,0.5109562106746843,0.3631680270219861,0.5190758931626647,0.5708107759784724
EIF4H,1.156513391735963,1.1055800876678397,1.1919746830090252,0.6834620821260403,0.8243226821161913,1.1262443022608788,0.8097847302569928,0.8001917847233012,0.9181900335592336,1.718314561715527,1.205607752118838,0.664324255799851,0.786531029086909,0.974306257415017,0.1732671128546578,0.16285944720817302,1.0714688661713696,0.8127553871114328,1.3078992400896137,0.6471597947230833,0.823555136881011,0.6717948906993106,0.5840523837667686,0.846846564533905,0.4032554733700597,1.2930851219580242,0.8730136945072332,1.0593011833778008,1.1085492060112265,1.2124538259935334,1.0989319150012364,0.9305526500554603,1.168619965696245,0.9743598937958093
CASP8,0.08853798977149209,0.46743544438533885,0.09080256392612117,0.13622946062171556,0.13127804899384204,0.0912703258262796,0.7474716570812816,0.20621633594936295,0.04085762937549232,0.016110116785570117,0.9852951981258723,0.050000689849966085,0.8076603217928758,0.9251085145192748,0.14787738911272388,0.1701101364385491,0.8822917828294491,0.12084631276672843,0.02947968396255453,0.2096533499955266,0.2043183207790959,0.20716829326334937,0.18551496025751657,0.738165506266205,0.36346768514757427,0.03839573422423896,0.259962828752734,0.7033778410060066,0.04957243378724282,0.6544047451749728,0.13914265405084048,0.10330115198829287,0.904854390276368,0.05598975273295458
LTBP2,0.0,0.005619754119825562,1.36238246878947,0.0,0.0074619616581164455,0.07696267507020675,0.011276844434932036,0.0023422361867118154,0.7863836413005806,0.08649494082722721,0.02802266499675686,1.1104596273121274,0.0,0.017879261480901007,0.004801524864265871,0.0,0.06508167717096137,0.11536756367220735,0.1503798773322205,0.09328184338847925,0.028910339067066148,0.09376980524545064,0.0,0.0027875593366000276,0.00949336524402987,0.008808719670731838,0.14244114629052618,0.007880636215870592,0.05255331640426168,0.0018234263164954895,0.0007662257037174788,0.017058890259510476,0.0,0.052794963668896286
CNN1,0.010739381154854597,0.0,1.351558659965797,0.006733198777088721,0.008551458011019229,0.013584552337457423,0.006956507862152004,0.0,0.2088101132543295,0.08330451295968695,0.0,0.27174530981423944,0.0,0.013163168070556862,0.0,0.00695894021143041,0.0,0.0,0.0,0.0,0.0,0.0020813315511631625,0.012992542492362926,0.01868377668136735,0.006729724730263367,0.02887765398717595,0.0,0.007764661542915128,1.291727847519073,0.0,0.07386703759204286,0.01734920147856047,0.016475167466744822,0.008756669634012823
PITPNB,1.0060450589578656,0.5589830989342401,0.7552369612440305,0.28317838308181453,0.34957013244508095,0.9170199906011097,0.3031739027299995,0.26031555049463667,0.6988542006833293,1.5391352983986346,0.6379453520768569,0.3845850092743129,0.48419297739946165,0.42259802394253465,0.17076409824473188,0.1737170132528201,0.49796448165617707,0.4982110532100483,1.073168515069427,0.31059436765251575,0.28188037418469847,0.23418209201087298,0.5181839065276544,0.45654247934641584,0.4341202944544623,1.087795725297351,0.304251394915245,0.5761423779125511,0.9645007657438793,0.5395075537168634,0.7396170875554743,0.5424555537430101,0.5018841585558151,0.9882796901524297
HIPK2,0.42234574271354186,0.3018666470810794,0.1838454351906245,0.5445017431900996,0.36804882846695275,0.6676537414576389,0.12145349390854303,0.15440849610394985,0.19310582841092305,0.51668927315965,0.18098199577719778,0.16117893339989903,0.10166186238960882,0.0673426801411349,0.26374507684580745,0.2219412094117365,0.12777603960376324,0.3770180550863343,0.198445531198617,0.29596479268773984,0.16109013784483914,0.2087243095945072,0.18959237474324453,0.28691024288845385,0.09378961704804324,1.0386044546003634,0.30487249508005876,0.11084155666415728,1.2295562352698393,0.2560665116630507,1.3836868368485944,0.09226649064921195,0.08390823257296613,0.34847399476065427
